id,created_at,lang,original text,user_name,place,place type,bbx,coordinates
1377985555640639488,Fri Apr 02 14:05:32 +0000 2021,en,Want to work in #Munich? View our latest opening: https://t.co/lARyLDg6sX #Transportation,TMJ-GER Transp. Jobs,Munich,city,"[[[11.360589, 48.061634], [11.722918, 48.061634], [11.722918, 48.248124], [11.360589, 48.248124]]]","[11.5819806, 48.1351253]"
1377926600239378432,Fri Apr 02 10:11:16 +0000 2021,en,This job might be a great fit for you: Senior Manager Business Development (m/w/d) IVD Services -… https://t.co/B0DdCgbp43,TMJ-GER Pharm. Jobs,Munich,city,"[[[11.360589, 48.061634], [11.722918, 48.061634], [11.722918, 48.248124], [11.360589, 48.248124]]]","[11.5819805, 48.1351253]"
1377921473243803648,Fri Apr 02 09:50:54 +0000 2021,en,"If jobs with titles like ""Account Relationship Manager, CTL (m/w/d) Chromatography and MS"" sound appealing to you,… https://t.co/HW3qisrDob",TMJ-GER Sales Jobs,Munich,city,"[[[11.360589, 48.061634], [11.722918, 48.061634], [11.722918, 48.248124], [11.360589, 48.248124]]]","[11.5819805, 48.1351253]"
1377917543378264072,Fri Apr 02 09:35:17 +0000 2021,de,Hat gerade ein Foto gepostet @ Viktualienmarkt https://t.co/Pc49LuARww,Fumolo,Munich,city,"[[[11.360589, 48.061634], [11.722918, 48.061634], [11.722918, 48.248124], [11.360589, 48.248124]]]","[11.5761, 48.1353]"
1377910768583245824,Fri Apr 02 09:08:22 +0000 2021,de,Hat gerade ein Foto gepostet @ Karlsplatz/Stachus https://t.co/geT7aSsbZ3,"Antoine Monot, Jr.",Munich,city,"[[[11.360589, 48.061634], [11.722918, 48.061634], [11.722918, 48.248124], [11.360589, 48.248124]]]","[11.56618662, 48.13903821]"
1377888516835708928,Fri Apr 02 07:39:57 +0000 2021,en,"Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like ""Sales Dev… https://t.co/HkPxo51DN0",TMJ-GER Sales Jobs,Munich,city,"[[[11.360589, 48.061634], [11.722918, 48.061634], [11.722918, 48.248124], [11.360589, 48.248124]]]","[11.5819805, 48.1351253]"
